perfume_name,brand_value,main_accord1,main_accord2,main_accord3,season,longevity,rating,voters_num,main_accord1_ratio,main_accord2_ratio,main_accord3_ratio
Agrumes Poudres,popular,SPICES,WHITEFLOWERS,SWEETSANDGOURMANDSMELLS,spring,moderate,4.28,50,0.43,0.3,0.27
Ambre Fleur d'Oranger,popular,WHITEFLOWERS,MUSKAMBERANIMALICSMELLS,CITRUSSMELLS,winter,moderate,4.59,17,0.39,0.33,0.28
Ambre Jasmin,popular,WHITEFLOWERS,MUSKAMBERANIMALICSMELLS,SPICES,winter,long_lasting,3.87,15,0.38,0.32,0.3
Ambre Vanille,popular,SPICES,MUSKAMBERANIMALICSMELLS,SWEETSANDGOURMANDSMELLS,winter,weak,3.93,28,0.45,0.32,0.23
Aqua Liguria,popular,CITRUSSMELLS,SPICES,WOODSANDMOSSES,summer,weak,3.71,28,0.49,0.26,0.24
Baies Roses Patchouly,popular,SPICES,SWEETSANDGOURMANDSMELLS,GREENSHERBSANDFOUGERES,winter,moderate,4.2,20,0.35,0.34,0.3
Baies Sauvages Jasmin,popular,FRUITSVEGETABLESANDNUTS,WHITEFLOWERS,WOODSANDMOSSES,summer,moderate,3.8,35,0.39,0.36,0.25
Baume et Bois,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,SPICES,fall,moderate,4.19,27,0.39,0.32,0.29
Bergamote Jasmin,popular,CITRUSSMELLS,WHITEFLOWERS,FLOWERS,spring,weak,4,7,0.45,0.29,0.25
Black Cherry,popular,FRUITSVEGETABLESANDNUTS,NATURALANDSYNTHETICPOPULARANDWEIRD,SPICES,winter,long_lasting,4.26,23,0.38,0.31,0.31
Blue Suit,popular,SPICES,GREENSHERBSANDFOUGERES,CITRUSSMELLS,summer,moderate,3.25,4,0.43,0.3,0.27
Cardamome,popular,SPICES,SPICES,CITRUSSMELLS,fall,moderate,4,11,0.41,0.33,0.26
Cassis Ambre,popular,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,SPICES,fall,long_lasting,3.92,13,0.34,0.34,0.31
Cerise Amande,popular,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,SPICES,spring,moderate,4.06,16,0.36,0.33,0.3
Cerise Exquise,popular,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,FRUITSVEGETABLESANDNUTS,winter,moderate,3.85,55,0.37,0.34,0.29
Charlotte Aux Fraises,popular,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,MUSKAMBERANIMALICSMELLS,summer,moderate,3.52,62,0.46,0.27,0.27
Chocolat,popular,SPICES,SWEETSANDGOURMANDSMELLS,SWEETSANDGOURMANDSMELLS,winter,moderate,3.57,35,0.46,0.29,0.26
Citronnade,popular,CITRUSSMELLS,SPICES,WOODSANDMOSSES,summer,weak,3.89,35,0.46,0.28,0.26
